Currency,Rate,Last_Updated
Argentine Peso,1370.536609,2026-04-17 17:41:43
Australian Dollar,1.414777,2026-04-17 17:41:43
Bahraini Dinar,0.376000,2026-04-17 17:41:43
Botswana Pula,13.449950,2026-04-17 17:41:43
Brazilian Real,5.009495,2026-04-17 17:41:43
Bruneian Dollar,1.273556,2026-04-17 17:41:43
Canadian Dollar,1.384251,2026-04-17 17:41:43
Chilean Peso,898.089921,2026-04-17 17:41:43
Chinese Yuan Renminbi,6.825033,2026-04-17 17:41:43
Colombian Peso,3640.953530,2026-04-17 17:41:43
Czech Koruna,20.792513,2026-04-17 17:41:43
Danish Krone,6.373310,2026-04-17 17:41:43
Euro,0.852863,2026-04-17 17:41:43
Hong Kong Dollar,7.830382,2026-04-17 17:41:43
Hungarian Forint,320.176987,2026-04-17 17:41:43
